id,texto,perfil,criado_em
1355408852968222726,"RT @Candy1Hardy: @mariosabinof O EX Presidiário resolveremos depois...
Agora é hora de :
#QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaB…",Eduardo97162621,2021-01-30 06:53:47
1355408066724950017,RT @jdoriajr: Governo de SP inicia a vacinação dos idosos com mais de 85 anos. No site https://t.co/Ouup4KL29w é possível fazer o pré-cadas…,NarahFiori,2021-01-30 06:50:40
1355407201427484673,"Como disse @vigalhardo ""o Brasil vai acabar com o efeito da vacina no mundo"" . Novas cepas podem deixar a vacina ineficiente. Então, sem perder tempo, vamos acelerar essa campanha meu povo! Não vamos desperdiçar vacinas. Bóra lá 💉🐊 #VacinaParaTodos #vacinajá https://t.co/QZNf5J76wI",fercapuvilla,2021-01-30 06:47:13
1355400375315132417,"Senhor Jesus, ponha tua mão sobre o mundo, em especial sobre o Brasil, quebra as correntes e liberta teu povo desse mal que está assolando teus filhos, Pai, creio em ti. Amém
Ladrao vem para roubar, mentir e matar, mas tú és fiel.
#impeachmentJa 
#PovoClamaporTiSenhor
#VacinaJa https://t.co/HESC0gN2hK",TiahSimone,2021-01-30 06:20:06
1355398513845219329,"RT @randolfeap: VENCEMOS! A vida NÃO PODE ESPERAR! Graças à nossa pressão, consolidada inclusive através de nossa ação no STF, o Governo ir…",AndreGT74,2021-01-30 06:12:42
1355394285957472256,"RT @transformamp: Transforma MP, @abjdbr  e @AssociacaoAPD  acionam a justiça para que governo federal seja obrigado a comprar as 54 milhõe…",ubaldobarbosa,2021-01-30 05:55:54
1355393749501816835,#VacinaJá 🇻🇳 https://t.co/MRAKV7g8Ob,alanvictortv,2021-01-30 05:53:46
1355393440356425731,"RT @izabellapena1: @minsaude: temos Pfizer, Moderna e agora a Novavax e Janssen/J&amp;J batendo na porta. PRECISAMOS DE MAIS VACINAS NO BRASIL!…",adrianodaiprai,2021-01-30 05:52:32
1355392149718773760,"Campanha do consórcio de veículos de imprensa destaca a importância da vacinação.
“Se vacinar é cuidar de si, do outro, da família, dos amigos, da sociedade.""
#VacinaJa #vacinasim #gmtintercambio https://t.co/VNtTaTc8EB",GianaTaddeo,2021-01-30 05:47:25
1355373977477242881,"RT @levantepopular: Começando o dia com mais uma militante do Levante VACINADA
Seguimos na luta em defesa do SUS e da vida
#VacinaJa #ForaB…",abaixa_ai,2021-01-30 04:35:12
